"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1,U2";"TO-220-7C";2;"LM2678T-5.0";;;
2;"C1,C2";"C_Radial_D10_L13_P5";2;"2x470µF/25V";;;
3;"C3,C4";"C_Radial_D10_L13_P5";2;"470µF/25V";;;
4;"C5,C6";"C_Disc_D6_P5";2;"0.47µF";;;
5;"C7";"c_elec_6.3x7.7";1;"100µF/25V";;;
6;"C8,C9";"C_0603_HandSoldering";2;"0,01µF";;;
7;"C10";"C_0603_HandSoldering";1;"10nF";;;
8;"C11,C12";"C_Radial_D12.5_L25_P5";2;"1000µF/50V";;;
9;"C13";"C_Radial_D5_L11_P2";1;"100µF/16V";;;
10;"D1,D2";"Diode_TO-220_Vertical";2;"MBR745G";;;
11;"D3";"Diode-DO-214AB_Handsoldering";1;"MBRS340";;;
12;"D4,D5";"LED-0603";2;"LED";;;
13;"JP1,JP2,JP3,JP4,JP5,JP6,JP7,JP8,JP9,JP13,JP14,JP15,JP10,JP11,JP12,JP16,JP17,JP18";"Pin_Header_Straight_1x03";18;"PINHD-1X3_2.54";;;
14;"JP19";"Pin_Header_Straight_1x05";1;"PINHD-1X5";;;
15;"L1,L2";"SELF-WE-PD-XXL";2;"15µH/5.8A";;;
16;"L3";"SELF-WE-PD-XXL";1;"47µH/2A";;;
17;"Q1,Q2";"SOT-23";2;"BSS138";;;
18;"R1";"R_0603_HandSoldering";1;"30.1K";;;
19;"R2,R3,R4,R5,R6";"R_0603_HandSoldering";5;"10K";;;
20;"R7,R8";"R_0603_HandSoldering";2;"R";;;
21;"U3";"AB2_SO08";1;"LM2675M-5";;;
22;"P2,P1";"1pin";2;"CONN_01X01";;;
23;"SHIELD1";"ArduinoMegaShield";1;"ARDUINO_MEGA_SHIELD";;;
24;"G***";"OSHW-logo_silkscreen-front_10mm";1;"OSHW-logo_silkscreen-front_10mm";;;
25;"JP20";"Pin_Header_Straight_1x04";1;"PINHD-1X4_2.54";;;
